,Player ID,Player Name,Age,Gender,Country,Favorite Game Genre,Email,Game ID,Total Playtime,Total Wins,Total Losses,Kill/Death Ratio,Experience Points (XP),Achievements Unlocked,Game Title,Genre,Release Date,Publisher,Platform,Average Playtime,Metacritic Score
10,4229,Olivia Jones,19.0,F,Germany,RPG,senjcgcu@example.com,4123,114,44,24,3.281876551875613,6263,9,Quest Journey,FPS,2022-01-01,Publisher18,PS5,87.0,77
11,6,James Moore,42.0,Other,Canada,Simulation,frccvago@example.com,276,120,66,95,1.3608643137135201,5860,2,War Quest,FPS,2022-01-01,Publisher15,Switch,,92
12,319,Ava Johnson,41.0,Other,USA,Adventure,ebrbrgld@example.com,276,48,17,37,2.0601635821300825,5599,13,War Quest,FPS,2022-01-01,Publisher15,Switch,,92
13,4312,Michael Moore,17.0,Other,Australia,RPG,ljmyckyx@example.com,276,180,98,9,3.3428642032554943,7894,3,War Quest,FPS,2022-01-01,Publisher15,Switch,,92
14,6,James Moore,42.0,Other,Canada,Simulation,frccvago@example.com,1643,165,19,10,2.3728652865026367,6104,19,Adventure World,RPG,2022-01-01,Publisher19,Xbox Series X,66.0,94
15,8,Jane Taylor,26.0,M,Canada,RPG,iohkfwsu@example.com,1105,2,44,10,2.709145309108388,5127,23,Magic Quest,RPG,2022-01-01,Publisher4,PC,92.0,64
16,4408,Ava Smith,14.0,F,Canada,Simulation,lzjjwotm@example.com,1105,164,53,3,1.2921078802076873,4050,30,Magic Quest,RPG,2022-01-01,Publisher4,PC,92.0,64
17,9,Daniel Moore,62.0,,UK,Action,dgsbxdpf@example.com,633,110,62,54,2.418553454756196,5524,23,Space Journey,FPS,2022-01-01,Publisher7,PS5,90.0,88
18,2109,Sophia Brown,55.0,F,USA,Action,apygcpcd@example.com,633,88,78,2,4.851884220389624,8026,23,Space Journey,FPS,2022-01-01,Publisher7,PS5,90.0,88
19,10,Michael Johnson,34.0,Other,France,Adventure,abblgjpo@example.com,2060,143,9,77,0.7828828890606929,8073,27,Mystery Saga,Sports,2022-01-01,Publisher2,Xbox Series X,83.0,102
20,11,Olivia Taylor,12.0,F,Australia,Simulation,iuwqsvbp@example.com,513,153,96,17,3.32674567973672,5868,28,Magic Legends,Adventure,2022-01-01,Publisher1,PS5,74.0,85
21,12,Jane Wilson,40.0,M,Australia,Adventure,iyqkiide@example.com,858,72,14,17,1.5413406188334695,82,34,Mystery Chronicles,Adventure,2022-01-01,Publisher5,PS5,94.0,100
22,3363,John Wilson,36.0,F,USA,Action,scazvlnv@example.com,858,77,38,9,3.093474086529678,8193,22,Mystery Chronicles,Adventure,2022-01-01,Publisher5,PS5,94.0,100
23,4224,Sophia Davis,49.0,M,Canada,Strategy,ekeetpem@example.com,858,50,77,5,4.990102437888953,782,35,Mystery Chronicles,Adventure,2022-01-01,Publisher5,PS5,94.0,100
24,12,Jane Wilson,40.0,M,Australia,Adventure,iyqkiide@example.com,3391,30,100,32,2.9597371718957692,6554,20,Legends Legends,Strategy,2022-01-01,Publisher17,Xbox Series X,35.0,109
25,14,William Williams,64.0,F,UK,RPG,qgvkkhhh@example.com,5080,67,63,55,2.6579172450882975,1580,43,Legends Chronicles,FPS,2022-01-01,Publisher13,Switch,,79
26,1765,Sophia Brown,,Other,Australia,Adventure,waamomal@example.com,5080,132,91,87,4.519255960267888,3463,17,Legends Chronicles,FPS,2022-01-01,Publisher13,Switch,,79
27,16,Emma Williams,26.0,Other,UK,Adventure,spyyskao@example.com,845,143,0,90,0.9978068448874591,9118,49,War Legends,Adventure,2022-01-01,Publisher16,Xbox Series X,95.0,100
28,16,Emma Williams,26.0,Other,UK,Adventure,spyyskao@example.com,3943,44,86,82,4.400322212010359,7553,36,Space Quest,Adventure,2022-01-01,Publisher8,Switch,46.0,93
29,17,James Johnson,56.0,M,USA,Strategy,jqhcrnsb@example.com,2760,103,8,36,2.3671694943747026,1346,32,Legends Chronicles,RPG,2022-01-01,Publisher17,Xbox Series X,47.0,97
30,19,Jane Moore,28.0,,USA,Adventure,anyvagcb@example.com,1516,3,21,57,4.100020597235406,9856,48,Magic Saga,Adventure,2022-01-01,Publisher10,Xbox Series X,63.0,108
31,3946,Ava Smith,17.0,M,UK,Action,mqawkbyp@example.com,1516,129,55,90,2.355083482572885,8813,32,Magic Saga,Adventure,2022-01-01,Publisher10,Xbox Series X,63.0,108
32,4448,Jane Williams,38.0,F,USA,Simulation,xqcsmndi@example.com,1516,81,79,36,3.0380981895150634,6252,7,Magic Saga,Adventure,2022-01-01,Publisher10,Xbox Series X,63.0,108
33,20,Olivia Johnson,22.0,Other,USA,Strategy,qoybnfzq@example.com,1904,119,22,44,2.5355050664349763,3469,40,Adventure World,Sports,2022-01-01,Publisher17,PS5,,63
34,21,Olivia Smith,27.0,F,France,Strategy,ramzhzsz@example.com,1739,176,77,96,2.9664084521713834,1888,2,Adventure Saga,Strategy,2022-01-01,Publisher16,PS5,83.0,87
35,4787,Sophia Miller,31.0,M,Germany,Strategy,qkhkcnvj@example.com,1739,80,13,0,3.2168444773081277,341,24,Adventure Saga,Strategy,2022-01-01,Publisher16,PS5,83.0,87
36,23,Daniel Moore,56.0,F,USA,Simulation,eroqfxxz@example.com,278,37,42,61,3.188919898301181,8535,47,Mystery Chronicles,Sports,2022-01-01,Publisher18,Xbox Series X,35.0,74
37,1524,William Taylor,11.0,M,USA,Action,lcbatisz@example.com,278,171,41,85,2.675925572321432,7311,15,Mystery Chronicles,Sports,2022-01-01,Publisher18,Xbox Series X,35.0,74
38,3839,Olivia Wilson,57.0,M,Canada,Adventure,uvmhmzmn@example.com,278,49,16,9,3.8241295867552636,2322,46,Mystery Chronicles,Sports,2022-01-01,Publisher18,Xbox Series X,35.0,74
39,27,Sophia Taylor,31.0,M,Canada,Simulation,qkembmfk@example.com,1280,49,6,87,2.3156475032338313,4450,45,Battle Legends,FPS,2022-01-01,Publisher13,PC,58.0,81
40,2974,Daniel Jones,52.0,M,France,RPG,pbwzlcrd@example.com,1280,96,20,57,2.5500023030265586,6937,30,Battle Legends,FPS,2022-01-01,Publisher13,PC,58.0,81
41,28,Daniel Taylor,65.0,F,Canada,Simulation,esztkjye@example.com,2254,123,3,65,1.4143366687712025,6376,37,Fantasy World,RPG,2022-01-01,Publisher20,PC,,73
42,285,Sophia Davis,36.0,M,USA,Adventure,tbkwgmkf@example.com,2254,39,12,98,2.233518084653147,3113,40,Fantasy World,RPG,2022-01-01,Publisher20,PC,,73
43,2574,Jane Jones,62.0,M,USA,Adventure,ktmoqany@example.com,2254,157,69,10,4.621388572910257,9746,32,Fantasy World,RPG,2022-01-01,Publisher20,PC,,73
44,2922,William Wilson,50.0,Other,France,Adventure,uqisbuba@example.com,2254,81,11,73,4.610340874049664,4004,19,Fantasy World,RPG,2022-01-01,Publisher20,PC,,73
45,29,Ava Davis,46.0,F,France,Action,gvkkigwm@example.com,4069,64,20,25,4.7142393007561365,9391,33,Fantasy Journey,Sports,2022-01-01,Publisher11,Switch,46.0,95
46,29,Ava Davis,46.0,F,France,Action,gvkkigwm@example.com,1267,116,47,65,3.3322884442710152,3420,48,Adventure Saga,FPS,2022-01-01,Publisher4,Switch,46.0,80
47,4418,Michael Jones,63.0,Other,USA,Adventure,tywwuibn@example.com,1267,171,58,73,1.7896285874233102,8717,24,Adventure Saga,FPS,2022-01-01,Publisher4,Switch,46.0,80
48,30,Ava Smith,60.0,M,Canada,Strategy,caigokaf@example.com,2913,134,50,61,4.095521520497576,6989,18,Heroes Quest,RPG,2022-01-01,Publisher16,PC,69.0,95
49,30,Ava Smith,60.0,M,Canada,Strategy,caigokaf@example.com,4303,12,31,33,2.6251775327291407,3440,24,War Quest,RPG,2022-01-01,Publisher4,Xbox Series X,24.0,79
50,3194,Michael Brown,,M,France,RPG,rbnkkiag@example.com,4303,67,10,41,2.339170157650277,3708,33,War Quest,RPG,2022-01-01,Publisher4,Xbox Series X,24.0,79
51,31,Daniel Brown,35.0,Other,UK,Action,waabeedu@example.com,4610,42,3,46,2.7846517205815897,2668,46,Legends Empire,Adventure,2022-01-01,Publisher13,Switch,71.0,87
52,31,Daniel Brown,35.0,Other,UK,Action,waabeedu@example.com,4204,133,49,92,1.5837037099990916,7066,11,Adventure Saga,Strategy,2022-01-01,Publisher6,Switch,69.0,85
53,1999,William Smith,55.0,M,UK,RPG,hqzspphv@example.com,4204,69,80,55,1.9937383539244833,7185,43,Adventure Saga,Strategy,2022-01-01,Publisher6,Switch,69.0,85
54,4839,John Davis,10.0,F,Canada,Adventure,txyhqzco@example.com,4204,167,7,51,2.13122277563237,3760,26,Adventure Saga,Strategy,2022-01-01,Publisher6,Switch,69.0,85
55,32,Daniel Moore,64.0,M,Germany,Action,bkbwizyc@example.com,4713,78,100,77,4.5146205616680275,6111,33,Fantasy Journey,Sports,2022-01-01,Publisher11,Switch,33.0,70
56,2644,Emma Smith,,M,Australia,Action,ptxfdwzu@example.com,4713,26,62,3,1.9068550565822884,5763,14,Fantasy Journey,Sports,2022-01-01,Publisher11,Switch,33.0,70
57,33,Michael Jones,48.0,M,France,Adventure,uulewlem@example.com,333,175,7,71,2.4284564354010674,2777,39,Quest of Warcraft,RPG,2022-01-01,Publisher20,Xbox Series X,,94
58,3263,Emma Brown,65.0,F,Germany,Adventure,yzxyuayp@example.com,333,150,85,77,3.3412400254807695,6886,27,Quest of Warcraft,RPG,2022-01-01,Publisher20,Xbox Series X,,94
59,36,Olivia Johnson,22.0,Other,Australia,Adventure,faglsbwg@example.com,3752,147,46,87,3.6898487427492257,60,48,Quest Chronicles,FPS,2022-01-01,Publisher6,PC,79.0,84
60,761,Sophia Moore,41.0,M,Germany,Strategy,kcmenxgp@example.com,3752,37,98,63,3.3748202443016906,6613,16,Quest Chronicles,FPS,2022-01-01,Publisher6,PC,79.0,84
61,37,William Wilson,51.0,Other,Australia,Strategy,lfiisghs@example.com,1086,59,50,77,1.1810721272090727,9663,19,Magic of Warcraft,FPS,2022-01-01,Publisher11,PS5,,78
62,40,Olivia Taylor,29.0,F,UK,Action,iuxygprx@example.com,3232,154,76,29,1.1068759526506264,4357,50,Heroes Quest,Strategy,2022-01-01,Publisher20,PS5,,74
63,1785,William Davis,68.0,M,Australia,Strategy,cyonrfdu@example.com,3232,85,50,8,4.70552290226869,9907,19,Heroes Quest,Strategy,2022-01-01,Publisher20,PS5,,74
64,40,Olivia Taylor,29.0,F,UK,Action,iuxygprx@example.com,3320,166,32,28,2.28840358604834,7237,36,Fantasy Saga,RPG,2022-01-01,Publisher7,Switch,28.0,92
65,459,John Jones,12.0,F,UK,RPG,xgtpadef@example.com,3320,59,83,51,2.2044624696785933,7982,25,Fantasy Saga,RPG,2022-01-01,Publisher7,Switch,28.0,92
66,4638,Michael Johnson,53.0,F,Canada,Simulation,fmhsdxeh@example.com,3320,198,16,64,0.7847088252069963,7115,44,Fantasy Saga,RPG,2022-01-01,Publisher7,Switch,28.0,92
67,43,Daniel Taylor,18.0,M,Germany,Simulation,bnxqkuju@example.com,1611,198,57,12,4.177824858953737,3674,23,War of Duty,Strategy,2022-01-01,Publisher14,Xbox Series X,55.0,104
68,262,James Davis,20.0,F,Canada,Simulation,nehjhsqc@example.com,1611,92,39,69,1.8277622338144852,6807,28,War of Duty,Strategy,2022-01-01,Publisher14,Xbox Series X,55.0,104
69,3087,James Davis,56.0,Other,USA,Simulation,uhaaqdcl@example.com,1611,177,5,69,4.348855661103393,8299,37,War of Duty,Strategy,2022-01-01,Publisher14,Xbox Series X,55.0,104
70,45,James Jones,62.0,M,France,Strategy,xbslzfui@example.com,3960,177,77,14,2.979860306745141,744,47,War of Duty,FPS,2022-01-01,Publisher11,Xbox Series X,,75
71,4069,Sophia Davis,38.0,F,Australia,Strategy,jekzoovl@example.com,3960,55,59,46,1.190199890874653,7200,40,War of Duty,FPS,2022-01-01,Publisher11,Xbox Series X,,75
72,46,Michael Davis,31.0,Other,USA,Action,ekfkwixm@example.com,5018,49,40,42,4.501159661445248,3167,43,Quest of Duty,FPS,2022-01-01,Publisher13,PS5,28.0,86
73,113,Ava Johnson,46.0,F,USA,RPG,wxtzttqg@example.com,5018,133,34,76,2.4875051282034066,9000,32,Quest of Duty,FPS,2022-01-01,Publisher13,PS5,28.0,86
74,1107,Ava Miller,29.0,,France,RPG,ssytiniv@example.com,5018,73,1,65,3.931063292126935,4197,21,Quest of Duty,FPS,2022-01-01,Publisher13,PS5,28.0,86
75,3822,John Davis,66.0,F,UK,Adventure,znijypcr@example.com,5018,121,72,18,3.1817645808813375,3834,32,Quest of Duty,FPS,2022-01-01,Publisher13,PS5,28.0,86
76,3822,John Davis,66.0,F,UK,Adventure,znijypcr@example.com,5018,121,72,18,3.1817645808813375,3834,32,Quest of Duty,FPS,2022-01-01,Publisher13,PS5,28.0,86
77,46,Michael Davis,31.0,Other,USA,Action,ekfkwixm@example.com,2700,48,12,9,3.4390979325709528,4044,43,Heroes Journey,Strategy,2022-01-01,Publisher11,PC,28.0,82
78,47,Michael Taylor,69.0,M,Germany,Action,srbdqgyl@example.com,4356,116,4,24,2.0255063560107844,9549,42,Mystery of Duty,Sports,2022-01-01,Publisher11,Xbox Series X,100.0,82
79,48,Michael Miller,18.0,M,Canada,Simulation,cbeezkgt@example.com,3543,154,3,16,4.528265184454994,4097,33,Fantasy Journey,FPS,2022-01-01,Publisher12,PS5,93.0,90
80,1827,Daniel Moore,28.0,F,Germany,Adventure,rwowektz@example.com,3543,169,21,84,0.5281716624111794,4953,31,Fantasy Journey,FPS,2022-01-01,Publisher12,PS5,93.0,90
81,49,Daniel Johnson,63.0,Other,Canada,Adventure,xtixtymp@example.com,3804,183,5,22,4.16919260371978,6334,24,Legends Empire,Sports,2022-01-01,Publisher11,PC,82.0,91
82,1763,Daniel Miller,,M,Germany,Adventure,vnhlftow@example.com,3804,9,31,92,3.9619275708645123,1137,44,Legends Empire,Sports,2022-01-01,Publisher11,PC,82.0,91
83,50,Daniel Jones,,M,Germany,Simulation,ndgetdnc@example.com,5055,147,99,85,1.1084230246413165,6482,44,Heroes of Duty,FPS,2022-01-01,Publisher15,Xbox Series X,26.0,99
84,4116,William Brown,53.0,F,Canada,Action,xatmxkst@example.com,5055,164,31,99,2.4244724909847313,7699,0,Heroes of Duty,FPS,2022-01-01,Publisher15,Xbox Series X,26.0,99
85,50,Daniel Jones,,M,Germany,Simulation,ndgetdnc@example.com,2303,8,98,96,3.2210749135028234,5032,45,Fantasy Chronicles,Sports,2022-01-01,Publisher3,PC,59.0,84
86,2871,Emma Johnson,38.0,F,Canada,RPG,vfynkmqm@example.com,2303,101,73,97,3.905919417313191,1442,45,Fantasy Chronicles,Sports,2022-01-01,Publisher3,PC,59.0,84
87,4560,John Miller,46.0,M,USA,RPG,iliaujtp@example.com,2303,131,83,96,1.585371238756938,4831,43,Fantasy Chronicles,Sports,2022-01-01,Publisher3,PC,59.0,84
88,52,William Smith,44.0,Other,USA,Simulation,fovfjgna@example.com,1941,90,65,57,4.579194513343703,8249,4,Fantasy of Duty,Adventure,2022-01-01,Publisher1,PS5,37.0,72
89,284,John Davis,40.0,M,France,Strategy,jcnkokvf@example.com,1941,196,11,33,3.641364957014104,7870,30,Fantasy of Duty,Adventure,2022-01-01,Publisher1,PS5,37.0,72
90,54,Sophia Williams,36.0,M,USA,Simulation,umnkmwtd@example.com,3717,173,72,64,3.3991092420177895,7615,12,Heroes of Warcraft,Sports,2022-01-01,Publisher13,PS5,,88
91,54,Sophia Williams,36.0,M,USA,Simulation,umnkmwtd@example.com,3106,15,2,100,3.9811973463537154,9041,1,Magic Chronicles,Strategy,2022-01-01,Publisher10,Switch,97.0,104
92,1165,Daniel Williams,26.0,F,Canada,Simulation,uvphrpvf@example.com,3106,155,35,2,2.2704694501037395,3641,16,Magic Chronicles,Strategy,2022-01-01,Publisher10,Switch,97.0,104
93,54,Sophia Williams,36.0,M,USA,Simulation,umnkmwtd@example.com,536,143,93,17,1.610483214677389,7568,2,War of Warcraft,RPG,2022-01-01,Publisher18,Switch,66.0,89
94,1459,Daniel Taylor,54.0,M,Germany,RPG,bupkemmw@example.com,536,178,13,79,1.1351094926963274,6657,40,War of Warcraft,RPG,2022-01-01,Publisher18,Switch,66.0,89
95,55,Michael Wilson,44.0,M,Germany,Simulation,qfnkeyvd@example.com,1499,115,62,47,2.8532556228692445,6166,48,Heroes Legends,Strategy,2022-01-01,Publisher18,PC,54.0,101
96,1523,Ava Davis,19.0,M,UK,Strategy,juxafzll@example.com,1499,52,55,74,3.1171320846255863,9216,29,Heroes Legends,Strategy,2022-01-01,Publisher18,PC,54.0,101
97,58,James Taylor,54.0,F,UK,Strategy,wkodaoot@example.com,2405,171,39,16,3.1136160501251737,2620,37,Mystery of Duty,FPS,2022-01-01,Publisher17,PS5,43.0,83
98,283,Jane Johnson,43.0,,France,Strategy,rfjdtcfc@example.com,2405,186,10,23,3.188996119483006,4341,12,Mystery of Duty,FPS,2022-01-01,Publisher17,PS5,43.0,83
99,58,James Taylor,54.0,F,UK,Strategy,wkodaoot@example.com,3519,41,1,66,0.743609937487542,61,50,Quest Journey,Adventure,2022-01-01,Publisher14,Xbox Series X,98.0,79
100,1107,Ava Miller,29.0,,France,RPG,ssytiniv@example.com,3519,91,99,48,1.061830049252667,1833,15,Quest Journey,Adventure,2022-01-01,Publisher14,Xbox Series X,98.0,79
101,4792,John Johnson,54.0,Other,UK,Simulation,gzpasedc@example.com,3519,39,63,13,1.16962829361936,9383,20,Quest Journey,Adventure,2022-01-01,Publisher14,Xbox Series X,98.0,79
102,58,James Taylor,54.0,F,UK,Strategy,wkodaoot@example.com,4316,68,57,42,4.346697504446505,5146,39,Magic World,Strategy,2022-01-01,Publisher5,Xbox Series X,38.0,74
103,1656,Jane Smith,26.0,,France,Strategy,tdlzwvug@example.com,4316,145,46,45,3.4490240790989426,6452,47,Magic World,Strategy,2022-01-01,Publisher5,Xbox Series X,38.0,74
104,4146,Emma Miller,53.0,Other,Germany,Adventure,bpknlhtf@example.com,4316,64,80,23,1.972895953359779,4714,43,Magic World,Strategy,2022-01-01,Publisher5,Xbox Series X,38.0,74
105,59,Ava Brown,14.0,M,UK,RPG,pfezaddw@example.com,2865,167,60,95,3.8836025186393615,1881,31,Adventure Journey,Strategy,2022-01-01,Publisher9,Xbox Series X,38.0,75
106,2298,Jane Jones,30.0,F,Germany,Strategy,rkpjxjos@example.com,2865,128,15,21,1.5507702817457436,6871,42,Adventure Journey,Strategy,2022-01-01,Publisher9,Xbox Series X,38.0,75
107,61,Michael Davis,48.0,,Australia,RPG,qryvsfbp@example.com,1270,184,49,6,1.2873224397687895,2255,30,War Legends,Sports,2022-01-01,Publisher12,PC,34.0,65
108,237,William Miller,59.0,M,Australia,Action,zkutvqnu@example.com,1270,111,3,92,4.071902148881812,1109,30,War Legends,Sports,2022-01-01,Publisher12,PC,34.0,65
109,594,James Brown,56.0,Other,Australia,Adventure,offtedca@example.com,1270,74,7,42,4.598863737631897,85,50,War Legends,Sports,2022-01-01,Publisher12,PC,34.0,65
110,3521,Ava Smith,,Other,Canada,Adventure,jvqzrcvw@example.com,1270,1,40,43,0.7812468044416601,8943,28,War Legends,Sports,2022-01-01,Publisher12,PC,34.0,65
111,61,Michael Davis,48.0,,Australia,RPG,qryvsfbp@example.com,4681,125,50,73,0.757611687575251,1614,4,Battle Chronicles,RPG,2022-01-01,Publisher4,Xbox Series X,30.0,82
112,1815,Olivia Wilson,65.0,F,Canada,Strategy,ovikqwzk@example.com,4681,190,10,98,4.965787261088022,6296,43,Battle Chronicles,RPG,2022-01-01,Publisher4,Xbox Series X,30.0,82
113,62,William Smith,57.0,F,Canada,RPG,csdmschp@example.com,1617,69,9,63,2.2253501818416517,9030,41,Adventure Legends,Adventure,2022-01-01,Publisher7,Switch,27.0,98
114,671,Ava Wilson,46.0,Other,UK,Strategy,xeqsinan@example.com,1617,159,39,90,2.4606421045662543,6082,9,Adventure Legends,Adventure,2022-01-01,Publisher7,Switch,27.0,98
115,64,Michael Williams,,Other,Germany,Action,nhqsvmjr@example.com,1160,70,29,14,4.840092130420711,2830,22,Battle Empire,Sports,2022/01/01,Publisher13,Xbox Series X,85.0,92
116,65,Jane Miller,48.0,,Germany,Adventure,twlmdejv@example.com,399,48,1,86,0.8914183802513511,5841,23,Legends of Duty,Strategy,2022-01-01,Publisher18,PS5,99.0,94
117,2524,Jane Wilson,,Other,Canada,Adventure,hllouzcr@example.com,399,48,1,96,4.799464436329003,275,4,Legends of Duty,Strategy,2022-01-01,Publisher18,PS5,99.0,94
118,4304,John Miller,56.0,M,Germany,Simulation,lnnuwtgn@example.com,399,113,23,95,2.1665502357520072,9892,30,Legends of Duty,Strategy,2022-01-01,Publisher18,PS5,99.0,94
119,67,James Davis,42.0,F,Germany,Strategy,qgghomao@example.com,2349,11,10,94,2.753922454409966,5013,26,Magic of Warcraft,FPS,2022-01-01,Publisher10,Switch,35.0,74
120,1166,Ava Miller,53.0,M,Canada,Simulation,mhkevwls@example.com,2349,155,7,29,3.7150376595498384,2432,42,Magic of Warcraft,FPS,2022-01-01,Publisher10,Switch,35.0,74
121,67,James Davis,42.0,F,Germany,Strategy,qgghomao@example.com,3878,120,10,81,3.3157225549051854,7658,46,Battle Chronicles,Strategy,2022-01-01,Publisher7,Xbox Series X,,71
122,68,Olivia Jones,11.0,F,USA,Adventure,feixgivz@example.com,3365,68,58,40,3.9166156261216902,8601,29,Mystery Chronicles,Adventure,2022-01-01,Publisher2,PS5,,99
123,3838,Emma Brown,18.0,Other,France,Action,mikgutyt@example.com,3365,47,70,17,4.676469251464752,8756,44,Mystery Chronicles,Adventure,2022-01-01,Publisher2,PS5,,99
124,69,Jane Williams,45.0,M,France,Adventure,jvoyotwy@example.com,4087,119,14,45,4.87791999603027,1336,11,Legends Chronicles,RPG,2022-01-01,Publisher7,Switch,,72
125,3549,Jane Wilson,,,UK,Strategy,bonuehln@example.com,4087,177,52,57,3.8341954799765445,8532,23,Legends Chronicles,RPG,2022-01-01,Publisher7,Switch,,72
126,69,Jane Williams,45.0,M,France,Adventure,jvoyotwy@example.com,2184,106,78,2,4.714122879037467,3232,18,Magic Chronicles,Sports,2022-01-01,Publisher5,PC,32.0,74
127,69,Jane Williams,45.0,M,France,Adventure,jvoyotwy@example.com,282,17,65,4,0.7990226625034287,1201,9,Heroes of Duty,RPG,2022-01-01,Publisher12,PS5,87.0,70
128,69,Jane Williams,45.0,M,France,Adventure,jvoyotwy@example.com,2010,182,4,32,3.707083000411749,3472,49,Heroes Chronicles,RPG,2022-01-01,Publisher3,PS5,34.0,100
129,2258,Jane Johnson,46.0,F,Canada,Strategy,wxcqaxps@example.com,2010,43,92,55,1.2332124303709557,2968,27,Heroes Chronicles,RPG,2022-01-01,Publisher3,PS5,34.0,100
130,69,Jane Williams,45.0,M,France,Adventure,jvoyotwy@example.com,733,26,58,40,4.561519496238557,7775,9,Mystery Quest,FPS,2022-01-01,Publisher17,Switch,42.0,91
131,69,Jane Williams,45.0,M,France,Adventure,jvoyotwy@example.com,883,91,39,34,3.7470853721718638,3386,30,Magic of Warcraft,Strategy,2022-01-01,Publisher7,PC,,92
132,70,Michael Miller,46.0,F,USA,Action,kzphjqwu@example.com,2774,189,57,66,2.1528403861266874,3205,11,Space Quest,Sports,2022-01-01,Publisher4,Switch,80.0,73
133,2320,William Wilson,20.0,F,Australia,Action,dbljkcdc@example.com,2774,142,24,92,4.534366265817704,9346,8,Space Quest,Sports,2022-01-01,Publisher4,Switch,80.0,73
134,3697,Michael Taylor,27.0,Other,USA,Action,jfwotuzg@example.com,2774,117,11,15,3.6209571805415104,4354,46,Space Quest,Sports,2022-01-01,Publisher4,Switch,80.0,73
135,72,Olivia Smith,,Other,Australia,Simulation,poswbozh@example.com,1239,187,7,71,3.71513756116819,8854,6,War Legends,Sports,2022-01-01,Publisher11,Switch,40.0,108
136,73,William Brown,57.0,Other,Germany,Strategy,qkxbrlfg@example.com,2391,120,40,15,4.0387936352328815,4455,49,Legends Journey,FPS,2022-01-01,Publisher7,PS5,84.0,78
137,73,William Brown,57.0,Other,Germany,Strategy,qkxbrlfg@example.com,830,6,75,37,2.770664004383604,4674,39,War Empire,Sports,2022-01-01,Publisher14,PS5,30.0,83
138,77,Daniel Wilson,12.0,M,Australia,Adventure,uomahbgg@example.com,1416,173,2,5,4.101728130282291,7948,33,Legends Quest,RPG,2022-01-01,Publisher7,PC,42.0,80
139,77,Daniel Wilson,12.0,M,Australia,Adventure,uomahbgg@example.com,1194,192,59,99,1.5438555250935435,5577,9,Fantasy Empire,Strategy,2022-01-01,Publisher12,PC,87.0,80
140,77,Daniel Wilson,12.0,M,Australia,Adventure,uomahbgg@example.com,4932,9,97,90,4.928112120416413,9744,46,Fantasy Journey,Adventure,2022-01-01,Publisher6,Xbox Series X,23.0,97
141,5000,Daniel Smith,43.0,M,USA,Simulation,ubkxkpdx@example.com,4932,39,30,60,0.5837731919610332,927,46,Fantasy Journey,Adventure,2022-01-01,Publisher6,Xbox Series X,23.0,97
142,78,James Wilson,39.0,M,Canada,Simulation,jqiahzga@example.com,1203,159,34,36,2.8691380770163653,5643,34,Battle of Duty,Strategy,2022-01-01,Publisher20,Switch,61.0,91
143,78,James Wilson,39.0,M,Canada,Simulation,jqiahzga@example.com,4045,171,0,43,4.005679890121403,6250,18,Magic Quest,Sports,2022-01-01,Publisher17,Xbox Series X,68.0,102
144,1025,James Taylor,,Other,UK,Action,nsyidrcl@example.com,4045,80,13,27,4.799997765048359,2163,47,Magic Quest,Sports,2022-01-01,Publisher17,Xbox Series X,68.0,102
